,城,省份,比例,具体人数,
40,衡阳,湖南省,0.25,377,20200117
41,苏州,江苏省,0.23,347,20200117
42,福州,福建省,0.23,347,20200117
43,洛阳,河南省,0.23,347,20200117
44,新乡,河南省,0.23,347,20200117
45,温州,浙江省,0.22,332,20200117
46,娄底,湖南省,0.22,332,20200117
47,昆明,云南省,0.21,317,20200117
48,漯河,河南省,0.21,317,20200117
49,石家庄,河北省,0.21,317,20200117
50,六安,安徽省,0.21,317,20200117
51,邯郸,河北省,0.2,302,20200117
52,邵阳,湖南省,0.2,302,20200117
53,上饶,江西省,0.2,302,20200117
54,赣州,江西省,0.2,302,20200117
55,南宁,广西壮族自治区,0.2,302,20200117
56,株洲,湖南省,0.19,287,20200117
57,哈尔滨,黑龙江省,0.19,287,20200117
58,邢台,河北省,0.18,271,20200117
59,徐州,江苏省,0.18,271,20200117
60,抚州,江西省,0.18,271,20200117
61,许昌,河南省,0.17,256,20200117
62,青岛,山东省,0.17,256,20200117
63,厦门,福建省,0.17,256,20200117
64,开封,河南省,0.16,241,20200117
65,益阳,湖南省,0.16,241,20200117
66,台州,浙江省,0.16,241,20200117
67,南通,江苏省,0.16,241,20200117
68,天津,天津,0.15,226,20200117
69,安阳,河南省,0.15,226,20200117
70,菏泽,山东省,0.14,211,20200117
71,平顶山,河南省,0.14,211,20200117
72,沈阳,辽宁省,0.14,211,20200117
73,无锡,江苏省,0.14,211,20200117
74,吉安,江西省,0.13,196,20200117
75,三亚,海南省,0.13,196,20200117
76,保定,河北省,0.13,196,20200117
77,济南,山东省,0.13,196,20200117
78,永州,湖南省,0.13,196,20200117
79,湘潭,湖南省,0.13,196,20200117
80,珠海,广东省,0.13,196,20200117
81,太原,山西省,0.12,181,20200117
82,亳州,安徽省,0.12,181,20200117
83,东莞,广东省,0.12,181,20200117
84,达州,四川省,0.12,181,20200117
85,兰州,甘肃省,0.12,181,20200117
86,怀化,湖南省,0.12,181,20200117
87,沧州,河北省,0.12,181,20200117
88,焦作,河南省,0.12,181,20200117
89,濮阳,河南省,0.11,166,20200117
90,海口,海南省,0.11,166,20200117
91,佛山,广东省,0.11,166,20200117
92,宿州,安徽省,0.11,166,20200117
93,贵阳,贵州省,0.11,166,20200117
94,三明,福建省,0.11,166,20200117
95,桂林,广西壮族自治区,0.11,166,20200117
96,泰州,江苏省,0.11,166,20200117
97,绍兴,浙江省,0.11,166,20200117
98,铜陵,安徽省,0.1,151,20200117
99,郴州,湖南省,0.1,151,20200117
0,黄冈,湖北省,14.87,26850,20200118
1,孝感,湖北省,13.14,23727,20200118
2,荆州,湖北省,6.29,11358,20200118
3,咸宁,湖北省,5.14,9281,20200118
4,鄂州,湖北省,4.39,7927,20200118
5,黄石,湖北省,4.21,7602,20200118
6,襄阳,湖北省,3.63,6555,20200118
7,随州,湖北省,3.11,5616,20200118
8,荆门,湖北省,2.96,5345,20200118
9,仙桃,湖北省,2.91,5255,20200118
10,宜昌,湖北省,2.54,4586,20200118
11,天门,湖北省,2.1,3792,20200118
12,恩施州,湖北省,1.8,3250,20200118
13,十堰,湖北省,1.65,2979,20200118
14,信阳,河南省,1.35,2438,20200118
15,重庆,重庆,1.27,2293,20200118
16,潜江,湖北省,1.03,1860,20200118
17,长沙,湖南省,1.02,1842,20200118
18,北京,北京,0.73,1318,20200118
19,南阳,河南省,0.7,1264,20200118
20,驻马店,河南省,0.68,1228,20200118
21,郑州,河南省,0.62,1120,20200118
22,上海,上海,0.6,1083,20200118
23,九江,江西省,0.57,1029,20200118
24,安庆,安徽省,0.57,1029,20200118
25,岳阳,湖南省,0.54,975,20200118
26,南昌,江西省,0.46,831,20200118
27,成都,四川省,0.46,831,20200118
28,周口,河南省,0.46,831,20200118
29,深圳,广东省,0.41,740,20200118
30,合肥,安徽省,0.4,722,20200118
31,广州,广东省,0.39,704,20200118
32,常德,湖南省,0.37,668,20200118
33,商丘,河南省,0.34,614,20200118
34,阜阳,安徽省,0.34,614,20200118
35,西安,陕西省,0.32,578,20200118
36,宜春,江西省,0.32,578,20200118
37,南京,江苏省,0.28,506,20200118
38,杭州,浙江省,0.27,488,20200118
39,娄底,湖南省,0.26,469,20200118
40,衡阳,湖南省,0.25,451,20200118
41,泉州,福建省,0.24,433,20200118
42,温州,浙江省,0.24,433,20200118
43,邵阳,湖南省,0.22,397,20200118
44,株洲,湖南省,0.21,379,20200118
45,益阳,湖南省,0.21,379,20200118
46,上饶,江西省,0.2,361,20200118
47,昆明,云南省,0.2,361,20200118
48,福州,福建省,0.2,361,20200118
49,漯河,河南省,0.19,343,20200118
50,赣州,江西省,0.18,325,20200118
51,苏州,江苏省,0.18,325,20200118
52,六安,安徽省,0.18,325,20200118
53,洛阳,河南省,0.17,307,20200118
54,石家庄,河北省,0.17,307,20200118
55,新乡,河南省,0.17,307,20200118
56,哈尔滨,黑龙江省,0.17,307,20200118
57,抚州,江西省,0.16,289,20200118
58,徐州,江苏省,0.16,289,20200118
59,邯郸,河北省,0.16,289,20200118
60,菏泽,山东省,0.16,289,20200118
61,南通,江苏省,0.15,271,20200118
62,许昌,河南省,0.15,271,20200118
63,邢台,河北省,0.15,271,20200118
64,开封,河南省,0.14,253,20200118
65,天津,天津,0.14,253,20200118
66,厦门,福建省,0.14,253,20200118
67,安阳,河南省,0.14,253,20200118
68,平顶山,河南省,0.14,253,20200118
69,永州,湖南省,0.14,253,20200118
70,南宁,广西壮族自治区,0.13,235,20200118
71,湘潭,湖南省,0.13,235,20200118
72,台州,浙江省,0.12,217,20200118
73,青岛,山东省,0.12,217,20200118
74,吉安,江西省,0.12,217,20200118
75,保定,河北省,0.12,217,20200118
76,三亚,海南省,0.12,217,20200118
77,无锡,江苏省,0.12,217,20200118
78,芜湖,安徽省,0.12,217,20200118
79,亳州,安徽省,0.12,217,20200118
80,宿州,安徽省,0.11,199,20200118
81,济南,山东省,0.11,199,20200118
82,泰州,江苏省,0.11,199,20200118
83,扬州,江苏省,0.11,199,20200118
84,怀化,湖南省,0.11,199,20200118
85,达州,四川省,0.11,199,20200118
86,贵阳,贵州省,0.11,199,20200118
87,临沂,山东省,0.11,199,20200118
88,郴州,湖南省,0.11,199,20200118
89,东莞,广东省,0.11,199,20200118
90,金华,浙江省,0.11,199,20200118
91,安康,陕西省,0.1,181,20200118
92,沧州,河北省,0.1,181,20200118
93,桂林,广西壮族自治区,0.1,181,20200118
94,海口,海南省,0.1,181,20200118
95,济宁,山东省,0.1,181,20200118
96,沈阳,辽宁省,0.1,181,20200118
97,乌鲁木齐,新疆维吾尔自治区,0.09,163,20200118
98,运城,山西省,0.09,163,20200118
99,焦作,河南省,0.09,163,20200118
0,孝感,湖北省,14.47,25112,20200119
1,黄冈,湖北省,12.28,21311,20200119
2,荆州,湖北省,6.93,12026,20200119
3,咸宁,湖北省,4.95,8590,20200119
4,鄂州,湖北省,3.91,6786,20200119
5,襄阳,湖北省,3.81,6612,20200119
6,黄石,湖北省,3.75,6508,20200119
7,荆门,湖北省,3.31,5744,20200119
8,随州,湖北省,3.21,5571,20200119
9,仙桃,湖北省,3.07,5328,20200119
10,宜昌,湖北省,2.69,4668,20200119
11,天门,湖北省,2.33,4044,20200119
12,十堰,湖北省,1.84,3193,20200119
13,恩施州,湖北省,1.74,3020,20200119
14,信阳,河南省,1.45,2516,20200119
15,重庆,重庆,1.29,2239,20200119
16,潜江,湖北省,1.04,1805,20200119
17,长沙,湖南省,0.79,1371,20200119
18,南阳,河南省,0.72,1250,20200119
19,驻马店,河南省,0.68,1180,20200119
20,北京,北京,0.68,1180,20200119
21,上海,上海,0.56,972,20200119
22,九江,江西省,0.52,902,20200119
23,岳阳,湖南省,0.52,902,20200119
24,周口,河南省,0.51,885,20200119
25,郑州,河南省,0.51,885,20200119
26,南昌,江西省,0.48,833,20200119
27,成都,四川省,0.45,781,20200119
28,安庆,安徽省,0.45,781,20200119
29,广州,广东省,0.44,764,20200119
30,深圳,广东省,0.43,746,20200119
31,常德,湖南省,0.4,694,20200119
32,商丘,河南省,0.38,659,20200119
33,阜阳,安徽省,0.36,625,20200119
34,西安,陕西省,0.34,590,20200119
35,合肥,安徽省,0.34,590,20200119
36,宜春,江西省,0.3,521,20200119
37,衡阳,湖南省,0.25,434,20200119
38,温州,浙江省,0.24,417,20200119
39,泉州,福建省,0.24,417,20200119
40,昆明,云南省,0.22,382,20200119
41,娄底,湖南省,0.22,382,20200119
42,邵阳,湖南省,0.22,382,20200119
43,南京,江苏省,0.21,364,20200119
44,杭州,浙江省,0.2,347,20200119
45,洛阳,河南省,0.2,347,20200119
46,福州,福建省,0.19,330,20200119
47,许昌,河南省,0.19,330,20200119
48,新乡,河南省,0.19,330,20200119
49,株洲,湖南省,0.18,312,20200119
50,上饶,江西省,0.18,312,20200119
51,抚州,江西省,0.18,312,20200119
52,菏泽,山东省,0.18,312,20200119
53,六安,安徽省,0.18,312,20200119
54,益阳,湖南省,0.18,312,20200119
55,哈尔滨,黑龙江省,0.18,312,20200119
56,漯河,河南省,0.18,312,20200119
57,厦门,福建省,0.18,312,20200119
58,安阳,河南省,0.18,312,20200119
59,赣州,江西省,0.17,295,20200119
60,邢台,河北省,0.16,278,20200119
61,南宁,广西壮族自治区,0.16,278,20200119
62,邯郸,河北省,0.16,278,20200119
63,石家庄,河北省,0.16,278,20200119
64,安康,陕西省,0.16,278,20200119
65,开封,河南省,0.16,278,20200119
66,南通,江苏省,0.15,260,20200119
67,苏州,江苏省,0.15,260,20200119
68,三亚,海南省,0.14,243,20200119
69,吉安,江西省,0.14,243,20200119
70,天津,天津,0.14,243,20200119
71,达州,四川省,0.14,243,20200119
72,平顶山,河南省,0.14,243,20200119
73,桂林,广西壮族自治区,0.14,243,20200119
74,永州,湖南省,0.14,243,20200119
75,湘潭,湖南省,0.14,243,20200119
76,徐州,江苏省,0.13,226,20200119
77,北海,广西壮族自治区,0.13,226,20200119
78,沧州,河北省,0.13,226,20200119
79,亳州,安徽省,0.13,226,20200119
80,台州,浙江省,0.13,226,20200119
81,保定,河北省,0.11,191,20200119
82,金华,浙江省,0.11,191,20200119
83,莆田,福建省,0.11,191,20200119
84,芜湖,安徽省,0.11,191,20200119
85,泰州,江苏省,0.11,191,20200119
86,沈阳,辽宁省,0.11,191,20200119
87,青岛,山东省,0.11,191,20200119
88,郴州,湖南省,0.11,191,20200119
89,太原,山西省,0.11,191,20200119
90,珠海,广东省,0.11,191,20200119
91,东莞,广东省,0.11,191,20200119
92,南充,四川省,0.11,191,20200119
93,济宁,山东省,0.1,174,20200119
94,海口,海南省,0.1,174,20200119
95,宿州,安徽省,0.1,174,20200119
96,运城,山西省,0.1,174,20200119
97,焦作,河南省,0.1,174,20200119
98,神农架林区,湖北省,0.1,174,20200119
99,怀化,湖南省,0.1,174,20200119
0,孝感,湖北省,14.24,27714,20200120
1,黄冈,湖北省,12.45,24230,20200120
2,荆州,湖北省,7.29,14188,20200120
3,咸宁,湖北省,4.75,9244,20200120
4,襄阳,湖北省,4.08,7941,20200120
5,黄石,湖北省,3.7,7201,20200120
6,荆门,湖北省,3.59,6987,20200120
7,鄂州,湖北省,3.53,6870,20200120
8,随州,湖北省,3.38,6578,20200120
9,仙桃,湖北省,3.11,6053,20200120
10,宜昌,湖北省,2.95,5741,20200120
11,天门,湖北省,2.43,4729,20200120
12,十堰,湖北省,1.97,3834,20200120
13,恩施州,湖北省,1.87,3639,20200120
14,信阳,河南省,1.57,3056,20200120
15,重庆,重庆,1.27,2472,20200120
16,潜江,湖北省,1.17,2277,20200120
17,南阳,河南省,0.82,1596,20200120
18,长沙,湖南省,0.75,1460,20200120
19,驻马店,河南省,0.72,1401,20200120
20,北京,北京,0.56,1090,20200120
21,周口,河南省,0.54,1051,20200120
22,郑州,河南省,0.52,1012,20200120
23,九江,江西省,0.48,934,20200120
24,岳阳,湖南省,0.47,915,20200120
25,上海,上海,0.46,895,20200120
26,南昌,江西省,0.43,837,20200120
27,安庆,安徽省,0.43,837,20200120
28,阜阳,安徽省,0.43,837,20200120
29,商丘,河南省,0.43,837,20200120
30,广州,广东省,0.4,778,20200120
31,深圳,广东省,0.4,778,20200120
32,常德,湖南省,0.38,740,20200120
33,成都,四川省,0.37,720,20200120
34,合肥,安徽省,0.3,584,20200120
35,宜春,江西省,0.29,564,20200120
36,西安,陕西省,0.29,564,20200120
37,温州,浙江省,0.28,545,20200120
38,衡阳,湖南省,0.27,525,20200120
39,邵阳,湖南省,0.22,428,20200120
40,南京,江苏省,0.21,409,20200120
41,漯河,河南省,0.21,409,20200120
42,福州,福建省,0.2,389,20200120
43,娄底,湖南省,0.2,389,20200120
44,许昌,河南省,0.2,389,20200120
45,洛阳,河南省,0.2,389,20200120
46,益阳,湖南省,0.2,389,20200120
47,昆明,云南省,0.19,370,20200120
48,新乡,河南省,0.19,370,20200120
49,泉州,福建省,0.19,370,20200120
50,菏泽,山东省,0.19,370,20200120
51,六安,安徽省,0.18,350,20200120
52,开封,河南省,0.18,350,20200120
53,株洲,湖南省,0.17,331,20200120
54,杭州,浙江省,0.17,331,20200120
55,安阳,河南省,0.17,331,20200120
56,上饶,江西省,0.16,311,20200120
57,哈尔滨,黑龙江省,0.16,311,20200120
58,吉安,江西省,0.16,311,20200120
59,邢台,河北省,0.16,311,20200120
60,抚州,江西省,0.16,311,20200120
61,徐州,江苏省,0.16,311,20200120
62,赣州,江西省,0.16,311,20200120
63,邯郸,河北省,0.15,292,20200120
64,平顶山,河南省,0.15,292,20200120
65,石家庄,河北省,0.15,292,20200120
66,南宁,广西壮族自治区,0.15,292,20200120
67,厦门,福建省,0.14,272,20200120
68,三亚,海南省,0.14,272,20200120
69,永州,湖南省,0.14,272,20200120
70,桂林,广西壮族自治区,0.14,272,20200120
71,亳州,安徽省,0.14,272,20200120
72,北海,广西壮族自治区,0.13,253,20200120
73,怀化,湖南省,0.13,253,20200120
74,苏州,江苏省,0.12,234,20200120
75,南通,江苏省,0.12,234,20200120
76,达州,四川省,0.12,234,20200120
77,宿州,安徽省,0.12,234,20200120
78,台州,浙江省,0.12,234,20200120
79,安康,陕西省,0.12,234,20200120
80,郴州,湖南省,0.12,234,20200120
81,湘潭,湖南省,0.12,234,20200120
82,保定,河北省,0.12,234,20200120
83,天津,天津,0.11,214,20200120
84,芜湖,安徽省,0.11,214,20200120
85,沧州,河北省,0.11,214,20200120
86,南充,四川省,0.1,195,20200120
87,珠海,广东省,0.1,195,20200120
88,运城,山西省,0.1,195,20200120
89,济宁,山东省,0.1,195,20200120
90,金华,浙江省,0.1,195,20200120
91,泰州,江苏省,0.1,195,20200120
92,焦作,河南省,0.09,175,20200120
93,沈阳,辽宁省,0.09,175,20200120
94,东莞,广东省,0.09,175,20200120
95,太原,山西省,0.09,175,20200120
96,海口,海南省,0.09,175,20200120
97,扬州,江苏省,0.09,175,20200120
98,莆田,福建省,0.09,175,20200120
99,济南,山东省,0.09,175,20200120
0,孝感,湖北省,13.87,34887,20200121
1,黄冈,湖北省,13.5,33957,20200121
2,荆州,湖北省,7.17,18035,20200121
3,咸宁,湖北省,4.77,11998,20200121
4,襄阳,湖北省,4.44,11168,20200121
5,荆门,湖北省,3.76,9458,20200121
6,黄石,湖北省,3.74,9407,20200121
7,随州,湖北省,3.54,8904,20200121
8,鄂州,湖北省,3.28,8250,20200121
9,仙桃,湖北省,3.23,8124,20200121
10,宜昌,湖北省,3.05,7672,20200121
11,天门,湖北省,2.28,5735,20200121
12,十堰,湖北省,2,5031,20200121
13,恩施州,湖北省,1.83,4603,20200121
14,信阳,河南省,1.68,4226,20200121
15,重庆,重庆,1.25,3144,20200121
16,潜江,湖北省,1.19,2993,20200121
17,南阳,河南省,0.82,2063,20200121
18,驻马店,河南省,0.73,1836,20200121
19,长沙,湖南省,0.66,1660,20200121
20,岳阳,湖南省,0.56,1409,20200121
21,周口,河南省,0.51,1283,20200121
22,安庆,安徽省,0.5,1258,20200121
23,九江,江西省,0.5,1258,20200121
24,北京,北京,0.47,1182,20200121
25,郑州,河南省,0.44,1107,20200121
26,广州,广东省,0.41,1031,20200121
27,常德,湖南省,0.41,1031,20200121
28,商丘,河南省,0.4,1006,20200121
29,南昌,江西省,0.4,1006,20200121
30,深圳,广东省,0.39,981,20200121
31,阜阳,安徽省,0.38,956,20200121
32,上海,上海,0.33,830,20200121
33,成都,四川省,0.33,830,20200121
34,西安,陕西省,0.28,704,20200121
35,宜春,江西省,0.27,679,20200121
36,合肥,安徽省,0.27,679,20200121
37,衡阳,湖南省,0.25,629,20200121
38,温州,浙江省,0.24,604,20200121
39,邵阳,湖南省,0.23,579,20200121
40,益阳,湖南省,0.21,528,20200121
41,六安,安徽省,0.21,528,20200121
42,上饶,江西省,0.2,503,20200121
43,漯河,河南省,0.19,478,20200121
44,开封,河南省,0.19,478,20200121
45,昆明,云南省,0.19,478,20200121
46,泉州,福建省,0.19,478,20200121
47,许昌,河南省,0.18,453,20200121
48,娄底,湖南省,0.18,453,20200121
49,株洲,湖南省,0.18,453,20200121
50,福州,福建省,0.17,428,20200121
51,洛阳,河南省,0.17,428,20200121
52,新乡,河南省,0.17,428,20200121
53,安阳,河南省,0.17,428,20200121
54,南京,江苏省,0.16,402,20200121
55,菏泽,山东省,0.16,402,20200121
56,徐州,江苏省,0.16,402,20200121
57,石家庄,河北省,0.15,377,20200121
58,厦门,福建省,0.15,377,20200121
59,湘潭,湖南省,0.15,377,20200121
60,平顶山,河南省,0.15,377,20200121
61,抚州,江西省,0.15,377,20200121
62,永州,湖南省,0.15,377,20200121
63,杭州,浙江省,0.15,377,20200121
64,赣州,江西省,0.14,352,20200121
65,邯郸,河北省,0.14,352,20200121
66,吉安,江西省,0.14,352,20200121
67,达州,四川省,0.13,327,20200121
68,三亚,海南省,0.13,327,20200121
69,桂林,广西壮族自治区,0.13,327,20200121
70,芜湖,安徽省,0.12,302,20200121
71,邢台,河北省,0.12,302,20200121
72,哈尔滨,黑龙江省,0.12,302,20200121
73,南宁,广西壮族自治区,0.11,277,20200121
74,怀化,湖南省,0.11,277,20200121
75,南通,江苏省,0.11,277,20200121
76,郴州,湖南省,0.11,277,20200121
77,珠海,广东省,0.11,277,20200121
78,台州,浙江省,0.11,277,20200121
79,宿州,安徽省,0.11,277,20200121
80,苏州,江苏省,0.11,277,20200121
81,南充,四川省,0.1,252,20200121
82,亳州,安徽省,0.1,252,20200121
83,安康,陕西省,0.1,252,20200121
84,焦作,河南省,0.1,252,20200121
85,濮阳,河南省,0.1,252,20200121
86,金华,浙江省,0.1,252,20200121
87,神农架林区,湖北省,0.1,252,20200121
88,保定,河北省,0.1,252,20200121
89,临沂,山东省,0.1,252,20200121
90,济宁,山东省,0.09,226,20200121
91,惠州,广东省,0.09,226,20200121
92,海口,海南省,0.09,226,20200121
93,天津,天津,0.09,226,20200121
94,莆田,福建省,0.09,226,20200121
95,沧州,河北省,0.09,226,20200121
96,泰州,江苏省,0.09,226,20200121
97,湛江,广东省,0.08,201,20200121
98,北海,广西壮族自治区,0.08,201,20200121
99,东莞,广东省,0.08,201,20200121
0,孝感,湖北省,14.56,40374,20200122
1,黄冈,湖北省,14.08,39043,20200122
2,荆州,湖北省,7.65,21213,20200122
3,咸宁,湖北省,4.74,13144,20200122
4,襄阳,湖北省,4.5,12478,20200122
5,荆门,湖北省,4.19,11619,20200122
6,黄石,湖北省,3.86,10704,20200122
7,随州,湖北省,3.79,10509,20200122
8,仙桃,湖北省,3.3,9151,20200122
9,鄂州,湖北省,3.28,9095,20200122
10,宜昌,湖北省,3.18,8818,20200122
11,天门,湖北省,2.34,6489,20200122
12,十堰,湖北省,2.06,5712,20200122
13,信阳,河南省,1.76,4880,20200122
14,恩施州,湖北省,1.76,4880,20200122
15,潜江,湖北省,1.35,3743,20200122
16,重庆,重庆,1.04,2884,20200122
17,南阳,河南省,0.77,2135,20200122
18,驻马店,河南省,0.66,1830,20200122
19,长沙,湖南省,0.6,1664,20200122
20,岳阳,湖南省,0.58,1608,20200122
21,九江,江西省,0.5,1386,20200122
22,安庆,安徽省,0.5,1386,20200122
23,周口,河南省,0.42,1165,20200122
24,常德,湖南省,0.4,1109,20200122
25,北京,北京,0.39,1081,20200122
26,南昌,江西省,0.38,1054,20200122
27,广州,广东省,0.37,1026,20200122
28,深圳,广东省,0.35,971,20200122
29,商丘,河南省,0.33,915,20200122
30,阜阳,安徽省,0.33,915,20200122
31,郑州,河南省,0.31,860,20200122
32,成都,四川省,0.29,804,20200122
33,上海,上海,0.28,776,20200122
34,宜春,江西省,0.26,721,20200122
35,合肥,安徽省,0.25,693,20200122
36,衡阳,湖南省,0.24,666,20200122
37,益阳,湖南省,0.24,666,20200122
38,漯河,河南省,0.22,610,20200122
39,温州,浙江省,0.22,610,20200122
40,西安,陕西省,0.21,582,20200122
41,邵阳,湖南省,0.2,555,20200122
42,六安,安徽省,0.19,527,20200122
43,福州,福建省,0.18,499,20200122
44,泉州,福建省,0.17,471,20200122
45,株洲,湖南省,0.17,471,20200122
46,昆明,云南省,0.17,471,20200122
47,娄底,湖南省,0.17,471,20200122
48,上饶,江西省,0.16,444,20200122
49,许昌,河南省,0.15,416,20200122
50,新乡,河南省,0.15,416,20200122
51,菏泽,山东省,0.15,416,20200122
52,开封,河南省,0.14,388,20200122
53,平顶山,河南省,0.14,388,20200122
54,石家庄,河北省,0.14,388,20200122
55,洛阳,河南省,0.14,388,20200122
56,赣州,江西省,0.14,388,20200122
57,抚州,江西省,0.14,388,20200122
58,吉安,江西省,0.13,360,20200122
59,安阳,河南省,0.13,360,20200122
60,南京,江苏省,0.13,360,20200122
61,徐州,江苏省,0.12,333,20200122
62,湘潭,湖南省,0.12,333,20200122
63,邯郸,河北省,0.12,333,20200122
64,郴州,湖南省,0.12,333,20200122
65,永州,湖南省,0.11,305,20200122
66,三亚,海南省,0.11,305,20200122
67,哈尔滨,黑龙江省,0.11,305,20200122
68,芜湖,安徽省,0.11,305,20200122
69,厦门,福建省,0.11,305,20200122
70,惠州,广东省,0.11,305,20200122
71,怀化,湖南省,0.11,305,20200122
72,桂林,广西壮族自治区,0.11,305,20200122
73,南宁,广西壮族自治区,0.11,305,20200122
74,杭州,浙江省,0.11,305,20200122
75,达州,四川省,0.1,277,20200122
76,东莞,广东省,0.09,250,20200122
77,南通,江苏省,0.09,250,20200122
78,亳州,安徽省,0.09,250,20200122
79,宿州,安徽省,0.09,250,20200122
80,珠海,广东省,0.09,250,20200122
81,邢台,河北省,0.09,250,20200122
82,保定,河北省,0.09,250,20200122
83,北海,广西壮族自治区,0.09,250,20200122
84,濮阳,河南省,0.09,250,20200122
85,海口,海南省,0.09,250,20200122
86,盐城,江苏省,0.09,250,20200122
87,苏州,江苏省,0.09,250,20200122
88,泰州,江苏省,0.09,250,20200122
89,安康,陕西省,0.09,250,20200122
90,焦作,河南省,0.08,222,20200122
91,铜陵,安徽省,0.08,222,20200122
92,台州,浙江省,0.08,222,20200122
93,湛江,广东省,0.08,222,20200122
94,沧州,河北省,0.07,194,20200122
95,天津,天津,0.07,194,20200122
96,临沂,山东省,0.07,194,20200122
97,扬州,江苏省,0.07,194,20200122
98,无锡,江苏省,0.07,194,20200122
99,南充,四川省,0.07,194,20200122
0,孝感,湖北省,16.91,44118,20200123
1,黄冈,湖北省,14.12,49279,20200123
2,荆州,湖北省,7.31,25512,20200123
3,咸宁,湖北省,4.9,17101,20200123
4,襄阳,湖北省,4.24,14798,20200123
5,随州,湖北省,4.15,14484,20200123
6,荆门,湖北省,4.07,14204,20200123
7,黄石,湖北省,3.76,13122,20200123
8,鄂州,湖北省,3.59,12529,20200123
9,仙桃,湖北省,3.34,11657,20200123
10,宜昌,湖北省,2.88,10051,20200123
11,天门,湖北省,2.25,7853,20200123
12,十堰,湖北省,2.14,7469,20200123
13,信阳,河南省,1.66,5793,20200123
14,恩施州,湖北省,1.54,5375,20200123
15,潜江,湖北省,1.25,4363,20200123
16,重庆,重庆,1,3490,20200123
17,南阳,河南省,0.76,2652,20200123
18,驻马店,河南省,0.62,2164,20200123
19,长沙,湖南省,0.6,2094,20200123
20,岳阳,湖南省,0.54,1885,20200123
21,南昌,江西省,0.45,1571,20200123
22,周口,河南省,0.44,1536,20200123
23,九江,江西省,0.41,1431,20200123
24,常德,湖南省,0.39,1361,20200123
25,安庆,安徽省,0.39,1361,20200123
26,深圳,广东省,0.37,1291,20200123
27,商丘,河南省,0.37,1291,20200123
28,广州,广东省,0.36,1256,20200123
29,北京,北京,0.36,1256,20200123
30,阜阳,安徽省,0.35,1222,20200123
31,上海,上海,0.31,1082,20200123
32,郑州,河南省,0.26,907,20200123
33,益阳,湖南省,0.25,873,20200123
34,衡阳,湖南省,0.22,768,20200123
35,宜春,江西省,0.22,768,20200123
36,合肥,安徽省,0.21,733,20200123
37,成都,四川省,0.21,733,20200123
38,西安,陕西省,0.2,698,20200123
39,邵阳,湖南省,0.19,663,20200123
40,漯河,河南省,0.18,628,20200123
41,泉州,福建省,0.18,628,20200123
42,福州,福建省,0.17,593,20200123
43,六安,安徽省,0.17,593,20200123
44,温州,浙江省,0.16,558,20200123
45,娄底,湖南省,0.15,524,20200123
46,上饶,江西省,0.15,524,20200123
47,株洲,湖南省,0.15,524,20200123
48,赣州,江西省,0.14,489,20200123
49,洛阳,河南省,0.14,489,20200123
50,昆明,云南省,0.14,489,20200123
51,芜湖,安徽省,0.13,454,20200123
52,杭州,浙江省,0.13,454,20200123
53,安阳,河南省,0.13,454,20200123
54,吉安,江西省,0.13,454,20200123
55,许昌,河南省,0.13,454,20200123
56,三亚,海南省,0.12,419,20200123
57,菏泽,山东省,0.12,419,20200123
58,晋中,山西省,0.12,419,20200123
59,湘潭,湖南省,0.12,419,20200123
60,开封,河南省,0.12,419,20200123
61,永州,湖南省,0.12,419,20200123
62,新乡,河南省,0.12,419,20200123
63,南京,江苏省,0.11,384,20200123
64,东莞,广东省,0.11,384,20200123
65,徐州,江苏省,0.11,384,20200123
66,平顶山,河南省,0.11,384,20200123
67,惠州,广东省,0.11,384,20200123
68,邯郸,河北省,0.1,349,20200123
69,苏州,江苏省,0.1,349,20200123
70,抚州,江西省,0.1,349,20200123
71,厦门,福建省,0.1,349,20200123
72,哈尔滨,黑龙江省,0.1,349,20200123
73,南宁,广西壮族自治区,0.1,349,20200123
74,郴州,湖南省,0.1,349,20200123
75,宿州,安徽省,0.09,314,20200123
76,达州,四川省,0.09,314,20200123
77,石家庄,河北省,0.09,314,20200123
78,珠海,广东省,0.09,314,20200123
79,桂林,广西壮族自治区,0.09,314,20200123
80,南通,江苏省,0.09,314,20200123
81,亳州,安徽省,0.08,279,20200123
82,怀化,湖南省,0.08,279,20200123
83,台州,浙江省,0.08,279,20200123
84,北海,广西壮族自治区,0.08,279,20200123
85,濮阳,河南省,0.08,279,20200123
86,泰州,江苏省,0.08,279,20200123
87,佛山,广东省,0.08,279,20200123
88,盐城,江苏省,0.08,279,20200123
89,邢台,河北省,0.08,279,20200123
90,南充,四川省,0.07,244,20200123
91,铜陵,安徽省,0.07,244,20200123
92,安康,陕西省,0.07,244,20200123
93,海口,海南省,0.07,244,20200123
94,济宁,山东省,0.07,244,20200123
95,扬州,江苏省,0.07,244,20200123
96,咸阳,陕西省,0.06,209,20200123
97,保定,河北省,0.06,209,20200123
98,天津,天津,0.06,209,20200123
99,沧州,河北省,0.06,209,20200123
0,孝感,湖北省,17.67,16098,20200124
1,黄冈,湖北省,14.58,13283,20200124
2,荆州,湖北省,6.04,5503,20200124
3,咸宁,湖北省,4.48,4081,20200124
4,鄂州,湖北省,3.99,3635,20200124
5,随州,湖北省,3.72,3389,20200124
6,荆门,湖北省,3.43,3125,20200124
7,黄石,湖北省,3.36,3061,20200124
8,襄阳,湖北省,3.2,2915,20200124
