city,day_avg,night_avg,day_var,night_var,part_date
2308,4869.053531,1838.92815,6641.332409,2586.552132,20200107
2313,5627.696394,2039.571154,6601.859872,2443.51976,20200107
2310,5769.541038,1992.269795,6771.068301,2362.2939,20200108
2311,5888.7676,2012.034917,7436.5333,2622.422526,20200108
2313,6580.580408,2211.404439,7725.268401,2617.573541,20200108
2302,6955.52526,2371.694852,9675.982687,3412.867975,20200108
2304,6874.096228,2404.839621,9292.20191,3327.185684,20200108
2306,7648.922374,2566.944597,8452.140807,3066.683092,20200108
2308,5327.136576,1856.152453,7091.485005,2635.079528,20200108
2312,4310.081277,1453.335752,5399.946161,1940.908434,20200108
2301,9068.819824,2947.241379,13506.47037,4495.89418,20200108
2303,5651.628952,1920.779403,8234.791104,3011.805602,20200108
2305,6389.888038,2314.734272,8048.582586,2991.140224,20200108
2307,6088.439897,2189.02683,7869.118506,2982.265462,20200108
2309,6533.716002,2257.352267,7495.91893,2663.887506,20200108
2301,9085.272801,2997.008057,13495.67845,4551.369089,20200109
2302,6305.939571,2151.168442,8559.750191,2987.437934,20200109
2304,6921.977702,2427.716846,9374.871477,3372.261757,20200109
2306,7814.279304,2620.02381,8619.335768,3086.677822,20200109
2310,5800.297789,2010.917545,6805.797569,2359.225749,20200109
2312,4566.922072,1533.575508,5622.795249,2041.069663,20200109
2303,5770.817481,2030.88378,8323.859993,3153.668256,20200109
2305,6652.050331,2416.810273,8352.857899,3112.041774,20200109
2307,6222.505026,2240.938014,7997.845092,3017.524456,20200109
2308,5321.280627,1854.76862,6936.027034,2519.818259,20200109
2309,6659.403164,2246.964539,7600.760594,2617.920132,20200109
2311,5954.19093,2074.077891,7451.418192,2683.7139,20200109
2313,6333.223757,2189.943141,7527.204635,2634.91614,20200109
2302,6473.70388,2278.839336,8813.824001,3129.973356,20200110
2303,6025.913467,2115.103893,8704.250584,3252.667715,20200110
2304,7038.310974,2562.159219,9567.653194,3541.562513,20200110
2306,8085.397561,2809.733537,8971.552362,3347.013558,20200110
2307,6407.931555,2352.690701,8256.297941,3171.429015,20200110
2309,6733.50041,2369.239825,7639.051619,2731.230261,20200110
2310,6031.256871,2171.874354,7046.127414,2551.792604,20200110
2312,4556.149637,1587.253269,5705.999557,2116.9626,20200110
2301,9239.345825,3119.342052,13822.79826,4682.680959,20200110
2305,7028.751087,2596.916132,8905.744274,3344.582693,20200110
2308,5445.298453,1938.593648,7131.650769,2610.600354,20200110
2311,6144.059696,2177.423199,7658.811125,2800.922344,20200110
2313,6276.603231,2236.515197,7521.364569,2679.645375,20200110
2301,8906.939517,3050.672353,13243.89287,4584.937344,20200111
2303,5715.853236,2028.386036,8278.926398,3162.760243,20200111
2305,6704.763365,2519.098632,8482.773946,3237.90707,20200111
2307,6184.059622,2273.798719,7931.158651,3054.894158,20200111
2309,6522.327967,2303.057572,7453.386016,2654.74403,20200111
2311,5947.055581,2128.800883,7533.282723,2732.363094,20200111
2313,5877.05081,2166.324483,7037.488487,2617.990173,20200111
2302,6251.798277,2198.048384,8544.006195,3000.456923,20200111
2304,6823.403462,2465.090822,9298.192851,3406.064812,20200111
2306,7816.743144,2770.230957,8700.02209,3262.756829,20200111
2308,5262.762186,1881.477463,6860.432269,2536.970275,20200111
2310,5887.622443,2094.791899,6928.291753,2444.244122,20200111
2312,4406.026634,1501.867312,5594.478197,1980.653905,20200111
2302,6288.943065,2198.693065,8560.656459,3000.949386,20200112
2304,6821.663179,2457.924843,9316.664052,3410.952043,20200112
2306,7845.282364,2813.703929,8724.657453,3325.834472,20200112
2308,5287.903732,1927.303896,6910.116743,2638.274133,20200112
2310,5898.784415,2107.751137,6920.51303,2501.786774,20200112
2312,4366.935562,1464.603198,5523.461981,1946.132693,20200112
2301,8817.178192,2978.038399,13003.1046,4447.150201,20200112
2303,5703.33951,2005.324493,8261.076158,3122.784681,20200112
2305,6717.878185,2509.782059,8495.363494,3259.844156,20200112
2307,6239.969069,2276.312205,7957.031096,3047.863239,20200112
2309,6505.795907,2268.842565,7430.556545,2601.707669,20200112
2311,6002.144086,2175.128693,7592.946817,2813.27135,20200112
2313,5864.3564,2111.758203,7016.755491,2540.463231,20200112
2301,7943.768626,2701.069151,11863.14495,4136.02462,20200113
2303,5094.076139,1810.099939,7354.246272,2819.093913,20200113
2305,5938.70431,2200.66639,7508.110534,2870.952377,20200113
2307,5567.972104,2085.060061,7121.362154,2831.166687,20200113
2309,5628.251432,2051.407418,6382.46968,2388.737474,20200113
2302,5596.583008,1986.915413,7591.71123,2747.008647,20200113
2304,6048.318051,2185.786651,8283.2464,3096.796391,20200113
2306,6953.65743,2472.916261,7716.929242,2969.995413,20200113
2308,4708.541047,1696.211856,6184.258603,2355.860595,20200113
2310,5228.764001,1892.727216,6079.951776,2200.993659,20200113
2311,5341.573648,1945.996485,6747.909583,2555.151491,20200113
2312,3920.301741,1364.483559,4894.343919,1809.935989,20200113
2313,5271.073158,1884.992962,6236.784507,2261.518779,20200113
2311,4685.525868,1926.479691,5831.66294,2526.658406,20200114
2312,3056.829622,1346.702807,3815.574647,1788.204765,20200114
2301,7369.859141,2655.18924,10858.97643,4075.394177,20200114
2303,5191.707688,1806.023751,7457.777505,2788.408553,20200114
2305,6086.409486,2201.392502,7710.40282,2855.785082,20200114
2307,5659.870142,2041.891328,7289.007403,2760.044904,20200114
2309,4106.179683,1888.608138,4722.093777,2219.758971,20200114
2310,4211.761009,1841.330784,4858.105469,2153.75049,20200114
2313,4512.45004,1858.671592,5266.150789,2217.155191,20200114
2302,4304.264509,1952.84481,5785.217189,2672.035199,20200114
2304,5449.563733,2169.633067,7470.62483,3088.649888,20200114
2306,7096.941857,2454.250533,7833.193761,2902.197735,20200114
2308,3897.186316,1687.92303,5121.52488,2330.944127,20200114
2302,3946.668401,1025.620026,5357.724057,1399.621206,20200115
2303,5211.073872,1867.581127,7482.395018,2850.106389,20200115
2305,6092.54941,2316.594987,7701.789547,3013.24067,20200115
2307,5675.193873,2110.605243,7353.921651,2839.666328,20200115
2311,4367.415019,1396.601227,5463.146025,1783.233263,20200115
2313,4294.590235,1322.074013,5099.717996,1576.855851,20200115
2301,7284.253715,2329.047292,10651.44671,3460.957843,20200115
2304,5086.802668,1672.769264,7032.146003,2365.830995,20200115
2306,7056.699452,2566.888551,7806.871487,2981.29338,20200115
2308,3594.129841,1100.52874,4737.236293,1536.39311,20200115
2309,3777.622574,1059.8434,4430.374838,1278.117084,20200115
2310,3832.045568,1143.577465,4509.18552,1318.938068,20200115
2312,2676.92192,736.4733269,3348.760288,966.7608827,20200115
2301,8304.351249,2889.898831,11989.5579,4304.781047,20200116
2304,6131.217034,2262.600576,8443.090413,3208.231954,20200116
2307,5767.304646,2166.25377,7466.176685,2937.78993,20200116
2309,5508.60929,2057.125683,6291.458635,2381.721498,20200116
2310,5274.62953,1944.349969,6157.846042,2274.264095,20200116
2311,5520.10407,2024.052715,6939.233644,2656.180056,20200116
2312,3897.840116,1377.36531,4880.291972,1804.914758,20200116
2313,5583.349773,2025.257059,6594.226977,2432.269577,20200116
2302,6296.026244,2251.124418,8473.531549,3078.99568,20200116
2303,5312.43435,1898.227705,7671.23769,2923.142917,20200116
2305,6211.098922,2338.779552,7793.485022,3044.052442,20200116
2306,7166.351937,2571.126868,7951.422046,3022.2528,20200116
2308,4881.495812,1831.071297,6444.638518,2540.060625,20200116
2305,6086.67669,2273.696392,7546.940739,2930.900244,20200117
2309,5580.928669,2033.879202,6435.096795,2367.04991,20200117
2310,5236.832091,1906.82795,6093.153842,2228.507045,20200117
2312,3994.716085,1415.846899,4998.768165,1870.161421,20200117
2301,8092.926299,2796.264507,11578.438,4120.494577,20200117
2302,6265.238197,2236.724184,8414.060681,3110.935139,20200117
2303,5244.680525,1881.814851,7480.539855,2876.208214,20200117
2304,6045.178545,2188.250133,8304.762352,3104.296268,20200117
2306,7181.378659,2555.912195,7962.065072,3027.282675,20200117
2307,5632.478976,2095.996344,7246.481186,2837.523172,20200117
2308,4844.193871,1778.716854,6366.867664,2460.015025,20200117
2311,5400.276789,1942.027441,6723.58825,2563.232738,20200117
2313,5548.706124,2017.436725,6535.241889,2435.627357,20200117
2301,7922.746883,2747.209845,11338.93042,4039.875345,20200118
2303,5264.949846,1875.501278,7674.803567,2907.392767,20200118
2304,6091.415131,2206.126478,8424.169231,3121.009371,20200118
2311,5528.464338,2011.955664,6912.052934,2622.332358,20200118
2312,4036.028079,1368.426601,5047.871142,1815.199529,20200118
2302,6291.018491,2253.9538,8517.840528,3109.076982,20200118
2305,6160.306719,2333.382414,7733.493359,3047.349552,20200118
2306,7197.663007,2640.436414,7972.026186,3022.533714,20200118
2307,5772.636987,2184.416984,7461.460522,2971.135036,20200118
2308,4876.122026,1801.556604,6387.49297,2456.929147,20200118
2309,5588.941514,2034.131457,6469.629031,2437.448142,20200118
2310,5289.48591,1916.376709,6202.89159,2243.842085,20200118
2313,5425.828174,2003.598661,6423.482961,2456.245817,20200118
2311,5651.874972,1999.956813,7046.933,2651.265209,20200119
2312,4130.834401,1375.474125,5154.914987,1800.683373,20200119
2301,8061.58895,2695.078972,11587.94212,3981.818288,20200119
2303,5427.804493,1943.902555,7863.84848,2958.840356,20200119
2305,6281.567164,2319.699834,7918.783061,3067.648157,20200119
2307,5882.419714,2157.912553,7640.786963,2928.618368,20200119
2308,4982.419315,1803.499282,6546.693619,2467.271444,20200119
2310,5333.775684,1899.571872,6285.278852,2213.886061,20200119
2313,5555.060213,1938.529866,6530.898405,2337.715541,20200119
2302,6424.533112,2222.634565,8647.042607,3051.978901,20200119
2304,6185.608821,2203.60946,8569.062564,3139.219264,20200119
2306,7353.742761,2648.010972,8173.099154,3133.987803,20200119
2309,5775.293876,1995.562329,6680.803239,2376.180303,20200119
2313,5829.596409,2102.329095,6713.85894,2500.694764,20200120
2302,6700.495818,2381.754155,8963.776807,3310.544801,20200120
2307,6009.550868,2273.488273,7806.096268,3139.663512,20200120
2311,5904.426324,2129.412291,7309.263823,2820.248939,20200120
2308,5106.371037,1868.716916,6750.149511,2596.880689,20200120
2303,5527.831497,1983.871596,7927.045097,3073.545193,20200120
2306,7448.679854,2679.562995,8314.520738,3244.948153,20200120
2304,6415.635618,2312.93102,8816.063441,3325.700835,20200120
2301,8324.363679,2802.047947,11902.66149,4148.370987,20200120
2305,6408.479262,2418.622978,8075.861373,3229.24854,20200120
